Ticker,Company,Type,Flag
IYR,ISHARES DJ US REAL EST IDX FD,EQUITY D PENNIES TO 3.00,0
JCP,PENNEY J.C. CO INC (HOLDING COMPANY,EQUITY D PENNIES TO 3.00,0
JNJ,JOHNSON AND JOHNSON,EQUITY D PENNIES TO 3.00,0
JNPR,JUNIPER NETWORKS INC,EQUITY D PENNIES TO 3.00,0
JOY,JOY GLOBAL INC,EQUITY D PENNIES TO 3.00,0
JPM,JPMORGAN CHASE & CO COM STK,EQUITY D PENNIES TO 3.00,0
JWN,NORDSTROM,EQUITY D PENNIES TO 3.00,0
KBH,KB HOME,EQUITY D PENNIES TO 3.00,0
KCG,KCG Holdings Inc.,EQUITY D PENNIES TO 3.00,0
KEY,KEYCORP (NEW),EQUITY D PENNIES TO 3.00,0
KGC,KINROSS GOLD CORP NEW,EQUITY D PENNIES TO 3.00,0
KMI,KINDER MORGAN INC (DELAWARE),EQUITY D PENNIES TO 3.00,0
KO,COCA-COLA CO,EQUITY D PENNIES TO 3.00,0
KRE,SPDR S&P MORTGAGE FINANCE ETF,EQUITY D PENNIES TO 3.00,0
LEN,LENNAR CORP CL A COMMON,EQUITY D PENNIES TO 3.00,0
LLY,LILLY ELI & CO,EQUITY D PENNIES TO 3.00,0
LNC,LINCOLN NATIONAL CORP,EQUITY D PENNIES TO 3.00,0
LNG,CHENIERE ENERGY INC,EQUITY D PENNIES TO 3.00,0
LNKD,LINKEDIN CORP,EQUITY D PENNIES TO 3.00,0
LOW,LOWES COMPANIES INC,EQUITY D PENNIES TO 3.00,0
LULU,"Lululemon Athletica, Inc.",EQUITY D PENNIES TO 3.00,0
LVS,LAS VEGAS SANDS CORP,EQUITY D PENNIES TO 3.00,0
M,Macy's Inc.,EQUITY D PENNIES TO 3.00,0
MA,MASTERCARD INCORPORATED CL A COM,EQUITY D PENNIES TO 3.00,0
MBI,MBIA INC,EQUITY D PENNIES TO 3.00,0
MCD,MCDONALDS CORP,EQUITY D PENNIES TO 3.00,0
MCO,MOODY'S CORPORATION,EQUITY D PENNIES TO 3.00,0
MCPIQ,MOLYCORP INC DEL,EQUITY D PENNIES TO 3.00,0
MDLZ,"Mondelez International, Inc.",EQUITY D PENNIES TO 3.00,0
MDT,MEDTRONIC INC,EQUITY D PENNIES TO 3.00,0
MDVN,MEDIVATION INC.,EQUITY D PENNIES TO 3.00,0
MET,"METLIFE, INC",EQUITY D PENNIES TO 3.00,0
MGM,MGM Resorts International,EQUITY D PENNIES TO 3.00,0
MJN,Mead Johnson Nutrition Company,EQUITY D PENNIES TO 3.00,0
MMM,3M COMPANY,EQUITY D PENNIES TO 3.00,0
MNKD,MANNKIND CORP,EQUITY D PENNIES TO 3.00,0
MO,"ALTRIA GROUP,INC.",EQUITY D PENNIES TO 3.00,0
MON,MONSANTO COMPANY,EQUITY D PENNIES TO 3.00,0
MOS,MOSAIC COMPANY,EQUITY D PENNIES TO 3.00,0
MRK,MERCK & CO INC,EQUITY D PENNIES TO 3.00,0
MRO,MARATHON OIL CORP,EQUITY D PENNIES TO 3.00,0
MRVL,MARVELL TECH GROUP LTD,EQUITY D PENNIES TO 3.00,0
MS,MORGAN STANLEY,EQUITY D PENNIES TO 3.00,0
MSFT,MICROSOFT CORP,EQUITY D PENNIES TO 3.00,0
MSI,"MOTOROLA SOLUTIONS, INC.",EQUITY D PENNIES TO 3.00,0
MT,ARCELOR MITTAL NY REGISTRY SHS CL-A,EQUITY D PENNIES TO 3.00,0
MTG,MGIC INVESTMENT CORP,EQUITY D PENNIES TO 3.00,0
MU,MICRON TECHNOLOGY INC,EQUITY D PENNIES TO 3.00,0
MYL,"Mylan, Inc.",EQUITY D PENNIES TO 3.00,0
NBG,NATIONAL BANK OF GREECE S A,EQUITY D PENNIES TO 3.00,0
NBR,NABORS INDS LTD (NEW) BERMUDA,EQUITY D PENNIES TO 3.00,0
NE,Noble Corporation plc ,EQUITY D PENNIES TO 3.00,0
NEM,NEWMONT MINING CORP (HOLDING COMPAN,EQUITY D PENNIES TO 3.00,0
NFLX,NETFLIX COM INC,EQUITY D PENNIES TO 3.00,0
NKE,NIKE INC CL-B,EQUITY D PENNIES TO 3.00,0
NLY,"ANNALY CAPITAL MANAGEMENT, INC",EQUITY D PENNIES TO 3.00,0
NOK,NOKIA CORP ADS (REP 1 SHARE),EQUITY D PENNIES TO 3.00,0
NOV,"NATIONAL OILWELL VARCO, INC.",EQUITY D PENNIES TO 3.00,0
NQ,NQ Mobile Inc.,EQUITY D PENNIES TO 3.00,0
NTAP,"NETAPP, INC",EQUITY D PENNIES TO 3.00,0
NUE,NUCOR CORP,EQUITY D PENNIES TO 3.00,0
NVDA,NVIDIA CORP,EQUITY D PENNIES TO 3.00,0
OIH,Market Vecotrs Oil Services ETF,EQUITY D PENNIES TO 3.00,0
ORCL,ORACLE CORPORATION,EQUITY D PENNIES TO 3.00,0
OXY,OCCIDENTAL PETROLEUM CORP,EQUITY D PENNIES TO 3.00,0
P,PANDORA MEDIA INC,EQUITY D PENNIES TO 3.00,0
PBR,PETRO BRAS SA PETROBAS ADS (EA REPT,EQUITY D PENNIES TO 3.00,0
PCL,PLUM CREEK TIMBER CO (REIT),EQUITY D PENNIES TO 3.00,0
PEP,PEPSICO INC,EQUITY D PENNIES TO 3.00,0
PFE,PFIZER INC,EQUITY D PENNIES TO 3.00,0
PG,PROCTER & GAMBLE CO,EQUITY D PENNIES TO 3.00,0
PHM,"PULTEGROUP, INC",EQUITY D PENNIES TO 3.00,0
PLUG,PLUG POWER INC,EQUITY D PENNIES TO 3.00,0
PM,"Philip Morris International, Inc.",EQUITY D PENNIES TO 3.00,0
